"source_id","period","geography","vehicle_type","powertrain","sales","unit","period_type","metric","estimate_status","coverage_status","observation_level","preferred_for_projection","notes","source_grade","source_type","publisher","tesla_scope","powertrain_canonical","market_scope","row_quality","uncertainty_band_percent","lower_sales","upper_sales","projection_caveat","projection_ready"
"fcai_2016_full","2016","Australia","total","total",1178133,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"FCAI reports 2016 VFACTS total new vehicle sales.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","all_new_vehicles","direct_official_or_primary",1,1166352,1189914,"",TRUE
"wiki_pev_au","2016","Australia","total","BEV_or_PHEV",1369,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,1095,1643,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"goauto_2016_full","2016","Australia","total","BEV_or_PHEV_excl_Tesla",282,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"GoAuto reports 282 electric vehicles, mainly plug-in hybrids, sold in 2016; Tesla treatment unclear.","B","media_vfacts_quote","GoAuto","excludes_tesla","BEV_or_PHEV","all_new_vehicles","direct_media_vfacts_quote",2,276,288,"excludes Tesla; not directly comparable with later all-brand BEV totals",FALSE
"goauto_2016_full","2016","Australia","passenger","ICE_diesel",20482,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"GoAuto reports diesel passenger-car sales fell to this value in 2016.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","ICE_diesel","light_vehicle","direct_media_vfacts_quote",2,20072,20892,"",FALSE
"fcai_2016_full","2016","Australia","heavy_commercial","total",32904,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Residual after passenger, SUV, and derived light-commercial totals.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","heavy_commercial_only","derived_from_public_percent_or_residual",8,30272,35536,"",TRUE
"fcai_2016_full","2016","Australia","light_commercial","total",217955,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"FCAI reports 2016 light commercial vehicles held 18.5 percent of the market.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,200519,235391,"",TRUE
"goauto_2016_full","2016","Australia","passenger","total",486257,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"GoAuto reports 2016 passenger-car sales from VFACTS.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,476532,495982,"",TRUE
"goauto_2016_full","2016","Australia","SUV","total",441017,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"GoAuto reports 2016 SUV sales from VFACTS.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,432197,449837,"",TRUE
"goauto_kpmg_2018_industry","2017","Australia","total","total",1189116,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"GoAuto/KPMG table reports VFACTS total market.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,1165334,1212898,"",TRUE
"wiki_pev_au","2017","Australia","total","BEV_or_PHEV",2287,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,1830,2744,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"goauto_kpmg_2018_industry","2017","Australia","passenger","BEV",512,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table; Tesla treatment depends on VFACTS reporting.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","BEV","light_vehicle","direct_media_vfacts_quote",2,502,522,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","passenger","HEV",9793,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","HEV","light_vehicle","direct_media_vfacts_quote",2,9597,9989,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","passenger","ICE_diesel",18189,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_diesel","light_vehicle","direct_media_vfacts_quote",2,17825,18553,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","passenger","ICE_petrol",421454,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_petrol","light_vehicle","direct_media_vfacts_quote",2,413025,429883,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","SUV","BEV",611,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table; Tesla treatment depends on VFACTS reporting.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","BEV","light_vehicle","direct_media_vfacts_quote",2,599,623,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","SUV","HEV",1416,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","HEV","light_vehicle","direct_media_vfacts_quote",2,1388,1444,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","SUV","ICE_diesel",141276,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_diesel","light_vehicle","direct_media_vfacts_quote",2,138450,144102,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","SUV","ICE_petrol",322406,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_petrol","light_vehicle","direct_media_vfacts_quote",2,315958,328854,"",FALSE
"goauto_kpmg_2018_industry","2017","Australia","heavy_commercial","total",36849,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","heavy_commercial_only","direct_media_vfacts_quote",2,36112,37586,"",TRUE
"goauto_kpmg_2018_industry","2017","Australia","light_commercial","total",236609,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,231877,241341,"",TRUE
"goauto_kpmg_2018_industry","2017","Australia","passenger","total",449949,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,440950,458948,"",TRUE
"goauto_kpmg_2018_industry","2017","Australia","SUV","total",465709,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,456395,475023,"",TRUE
"goauto_kpmg_2018_industry","2018","Australia","total","total",1153111,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"GoAuto/KPMG table reports VFACTS total market.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,1130049,1176173,"",TRUE
"wiki_pev_au","2018","Australia","total","BEV_or_PHEV",2216,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,1773,2659,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"goauto_2020_hybrid_market","2018","Australia","total","HEV",14328,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"GoAuto reports total hybrid deliveries in 2018.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,14041,14615,"",TRUE
"goauto_kpmg_2018_industry","2018","Australia","passenger","BEV",646,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table; Tesla treatment depends on VFACTS reporting.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","BEV","light_vehicle","direct_media_vfacts_quote",2,633,659,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","passenger","HEV",12728,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","HEV","light_vehicle","direct_media_vfacts_quote",2,12473,12983,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","passenger","ICE_diesel",13982,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_diesel","light_vehicle","direct_media_vfacts_quote",2,13702,14262,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","passenger","ICE_petrol",351057,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_petrol","light_vehicle","direct_media_vfacts_quote",2,344036,358078,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","SUV","BEV",690,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table; Tesla treatment depends on VFACTS reporting.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","BEV","light_vehicle","direct_media_vfacts_quote",2,676,704,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","SUV","HEV",1600,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","HEV","light_vehicle","direct_media_vfacts_quote",2,1568,1632,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","SUV","ICE_diesel",132331,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_diesel","light_vehicle","direct_media_vfacts_quote",2,129684,134978,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","SUV","ICE_petrol",360679,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"SUV fuel split from VFACTS table.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","ICE_petrol","light_vehicle","direct_media_vfacts_quote",2,353465,367893,"",FALSE
"goauto_kpmg_2018_industry","2018","Australia","heavy_commercial","total",41426,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","heavy_commercial_only","direct_media_vfacts_quote",2,40597,42255,"",TRUE
"goauto_kpmg_2018_industry","2018","Australia","light_commercial","total",237972,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,233213,242731,"",TRUE
"goauto_kpmg_2018_industry","2018","Australia","passenger","total",378413,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,370845,385981,"",TRUE
"goauto_kpmg_2018_industry","2018","Australia","SUV","total",495300,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,485394,505206,"",TRUE
"fcai_2019_full","2019","Australia","total","total",1062867,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"FCAI reports 2019 VFACTS total new vehicle sales.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","all_new_vehicles","direct_official_or_primary",1,1052238,1073496,"",TRUE
"carexpert_2020_full","2019","Australia","total","BEV_excl_Tesla",1522,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 EV excluding Tesla total and reported year-on-year growth.","B","media_vfacts_quote","CarExpert","excludes_tesla","BEV","all_new_vehicles","derived_from_public_percent_or_residual",8,1400,1644,"excludes Tesla; not directly comparable with later all-brand BEV totals",FALSE
"wiki_pev_au","2019","Australia","total","BEV_or_PHEV",6718,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,5374,8062,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"goauto_2020_hybrid_market","2019","Australia","total","HEV",30641,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"GoAuto reports total hybrid deliveries in 2019.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,30028,31254,"",TRUE
"carexpert_2020_full","2019","Australia","total","ICE_diesel",332182,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 diesel total and reported year-on-year decline.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_diesel","all_new_vehicles","derived_from_public_percent_or_residual",8,305607,358757,"",TRUE
"carexpert_2020_full","2019","Australia","total","ICE_petrol",658193,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 petrol total and reported year-on-year decline.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_petrol","all_new_vehicles","derived_from_public_percent_or_residual",8,605538,710848,"",TRUE
"carexpert_2020_full","2019","Australia","total","PHEV",1426,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 PHEV total and reported year-on-year growth.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","derived_from_public_percent_or_residual",8,1312,1540,"",TRUE
"fcai_2019_full","2019","Australia","heavy_commercial","total",37882,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Residual after derived light-vehicle class totals.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","heavy_commercial_only","derived_from_public_percent_or_residual",8,34851,40913,"",TRUE
"fcai_2019_full","2019","Australia","light_commercial","total",225597,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from 2018 VFACTS light-commercial total and FCAI-reported 2019 light-commercial decline.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,207549,243645,"",TRUE
"fcai_2019_full","2019","Australia","passenger","total",315975,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from 2018 VFACTS passenger total and FCAI-reported 2019 passenger decline.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,290697,341253,"",TRUE
"fcai_2019_full","2019","Australia","SUV","total",483413,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from 2018 VFACTS SUV total and FCAI-reported 2019 SUV decline.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,444740,522086,"",TRUE
"carexpert_2020_full","2020","Australia","total","total",916968,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"CarExpert reports FCAI/VFACTS full-year 2020 market total.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,898629,935307,"",TRUE
"carexpert_2020_full","2020","Australia","total","BEV_excl_Tesla",1769,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS; excludes Tesla.","B","media_vfacts_quote","CarExpert","excludes_tesla","BEV","all_new_vehicles","direct_media_vfacts_quote",2,1734,1804,"excludes Tesla; not directly comparable with later all-brand BEV totals",FALSE
"wiki_pev_au","2020","Australia","total","BEV_or_PHEV",6900,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,5520,8280,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"carexpert_2020_full","2020","Australia","total","HEV",60417,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,59209,61625,"",TRUE
"carexpert_2020_full","2020","Australia","total","ICE_diesel",290659,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_diesel","all_new_vehicles","direct_media_vfacts_quote",2,284846,296472,"",TRUE
"carexpert_2020_full","2020","Australia","total","ICE_petrol",527871,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_petrol","all_new_vehicles","direct_media_vfacts_quote",2,517314,538428,"",TRUE
"carexpert_2020_full","2020","Australia","total","PHEV",1685,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","direct_media_vfacts_quote",2,1651,1719,"",TRUE
"carexpert_2020_full","2020","Australia","heavy_commercial","total",34845,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Residual after derived light-vehicle class totals.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","heavy_commercial_only","derived_from_public_percent_or_residual",8,32057,37633,"",TRUE
"carexpert_2020_full","2020","Australia","light_commercial","total",205401,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from reported 2020 light-commercial market share.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,188969,221833,"",TRUE
"carexpert_2020_full","2020","Australia","passenger","total",221906,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from reported 2020 passenger-car market share.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,204154,239658,"",TRUE
"carexpert_2020_full","2020","Australia","SUV","total",454816,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from reported 2020 SUV market share.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,418431,491201,"",TRUE
"carexpert_2021_full","2021","Australia","total","total",1049831,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"CarExpert reports FCAI/VFACTS full-year 2021 market total.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,1028834,1070828,"",TRUE
"carexpert_2021_full","2021","Australia","total","BEV_excl_Tesla",5149,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown reports EV minus Tesla.","B","media_vfacts_quote","CarExpert","excludes_tesla","BEV","all_new_vehicles","direct_media_vfacts_quote",2,5046,5252,"excludes Tesla; not directly comparable with later all-brand BEV totals",FALSE
"wiki_pev_au","2021","Australia","total","BEV_or_PHEV",17293,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,13834,20752,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"carexpert_2021_full","2021","Australia","total","FCEV",38,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","FCEV","all_new_vehicles","direct_media_vfacts_quote",2,37,39,"",TRUE
"carexpert_2021_full","2021","Australia","total","HEV",70466,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,69057,71875,"",TRUE
"carexpert_2021_full","2021","Australia","total","ICE_diesel",346990,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_diesel","all_new_vehicles","direct_media_vfacts_quote",2,340050,353930,"",TRUE
"carexpert_2021_full","2021","Australia","total","ICE_petrol",580495,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_petrol","all_new_vehicles","direct_media_vfacts_quote",2,568885,592105,"",TRUE
"carexpert_2021_full","2021","Australia","total","PHEV",3372,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","direct_media_vfacts_quote",2,3305,3439,"",TRUE
"carexpert_2021_full","2021","Australia","heavy_commercial","total",43231,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","heavy_commercial_only","direct_media_vfacts_quote",2,42366,44096,"",TRUE
"carexpert_2021_full","2021","Australia","light_commercial","total",253254,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,248189,258319,"",TRUE
"carexpert_2021_full","2021","Australia","passenger","total",221556,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,217125,225987,"",TRUE
"carexpert_2021_full","2021","Australia","SUV","total",531700,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,521066,542334,"",TRUE
