"source_id","model","model_key","variant_details","vehicle_type","broad_vehicle_type","powertrain","listed_price_aud","fast_charge_time_minutes","fast_charge_power_kw","ancap_rating_raw","ancap_stars","ancap_year","ancap_van_rating","range_km","energy_consumption","notes"
"aaa_ev_index_vehicle_specs","Nissan Ariya","nissan ariya","2025 Nissan Ariya Advance+ FE0 Auto MY25","Medium SUV","SUV","BEV",NA,40,130,"5 star, 2022",5,2022,NA,504,19.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Polestar 3","polestar 3","2025 Polestar 3 Long Range Single Motor Auto MY25","Large SUV","SUV","BEV",116754,32,250,"5 star, 2025",5,2025,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Polestar 4","polestar 4","2025 Polestar 4 Long range Single motor Auto MY26","Large SUV","SUV","BEV",78500,28,150,"5 star, 2025",5,2025,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Porsche Macan","porsche macan","2025 Porsche Macan GTS XAB Auto AWD MY26","Medium SUV","SUV","BEV",171100,21,270,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Renault Megane E-Tech","renault megane e tech","2024 Renault Megane E-Tech Techno EV60 Auto MY24","Small SUV","SUV","BEV",54990,30,130,"5 star, 2022",5,2022,NA,454,15.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Skoda Elroq","skoda elroq","2025 SKODA Elroq 85 Select Auto MY25","Medium SUV","SUV","BEV",54990,28,175,"Unrated",NA,NA,NA,540,16.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Skoda Enyaq","skoda enyaq","2025 SKODA Enyaq Sportline Auto MY25","Medium SUV","SUV","BEV",69990,28,175,"5 star, 2021",5,2021,NA,561,15.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Subaru Solterra","subaru solterra","2025 Subaru Solterra AWD E1-1 Auto AWD MY25","Medium SUV","SUV","BEV",69990,30,150,"5 star, 2022",5,2022,NA,485,14.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Tesla Model Y","tesla model y","2025 Tesla Model Y Rear-Wheel Drive Auto","Medium SUV","SUV","BEV",55900,NA,NA,"Unrated",NA,NA,NA,510,14.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Toyota bZ4X","toyota bz4x","2025 Toyota bZ4X Auto 2WD","Medium SUV","SUV","BEV",66000,45,150,"5 star, 2022",5,2022,NA,535,12.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volkswagen ID.4","volkswagen id 4","2025 Volkswagen ID.4 Pro E2 Auto MY25","Medium SUV","SUV","BEV",59990,22,175,"5 star, 2021",5,2021,NA,544,16.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volkswagen ID.5","volkswagen id 5","2025 Volkswagen ID.5 Pro E2 Auto MY25","Medium SUV","SUV","BEV",62990,30,175,"5 star, 2021",5,2021,NA,543,16.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volvo EX30","volvo ex30","2025 Volvo EX30 Single Motor Extended Range Plus Auto MY25","Small SUV","SUV","BEV",59990,30,175,"5 star, 2024",5,2024,NA,462,17.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volvo EX90","volvo ex90","2025 Volvo EX90 Plus Twin Motor Auto AWD MY25","Large SUV","SUV","BEV",124990,30,175,"Unrated",NA,NA,NA,570,22,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Zeekr 7X","zeekr 7x","2025 Zeekr 7X Performance Auto AWD","Medium SUV","SUV","BEV",72900,13,450,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Zeekr X","zeekr x","2025 Zeekr X RWD Auto MY24","Small SUV","SUV","BEV",49900,30,150,"5 star, 2024",5,2024,NA,540,13.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BYD Shark 6","byd shark 6","2025 BYD SHARK 6 Premium Auto AWD","Ute (4WD)","light_commercial","PHEV",57900,35,50,"5 star, 2025",5,2025,NA,100,21.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Ford Ranger","ford ranger","2025 Ford Ranger PHEV Wildtrak Auto 4WD MY26.00 Double Cab","Ute (4WD)","light_commercial","PHEV",79990,240,5,"Unrated",NA,NA,NA,49,18.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Ford Transit Custom","ford transit custom","2025 Ford E-Transit Custom Sport SWB AV SWB Auto 26.00MY","Van","light_commercial","PHEV",69990,255,5,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","GWM Cannon Alpha","gwm cannon alpha","2025 GWM Cannon Alpha Lux PHEV Auto 4WD Dual Cab","Ute (4WD)","light_commercial","PHEV",59990,24,50,"5 star, 2024",5,2024,NA,115,30.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Bentley Coupe/Conv","bentley coupe conv","2025 Bentley Continental GTC Azure V8 Auto AWD MY26","Large Car","passenger","PHEV",632000,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Bentley Sedan","bentley sedan","2024 Bentley Flying Spur Mulliner Hybrid Auto AWD MY24","Large Car","passenger","PHEV",646800,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW 5 Series","bmw 5 series","2025 BMW M5 G99 Auto M xDriver","Large Car","passenger","PHEV",265700,135,11,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","CUPRA Leon PHEV","cupra leon phev","2024 CUPRA Leon VZe Auto MY24","Small Car","passenger","PHEV",61690,NA,NA,"5 star, 2020",5,2020,NA,67,11.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Ferrari Coupe/Conv","ferrari coupe conv","2025 Ferrari 396 GTS Auto","Sports Car","passenger","PHEV",668146,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Lamborghini Coupe/Conv","lamborghini coupe conv","2025 Lamborghini Revuelto Auto AWD MY24","Sports Car","passenger","PHEV",987908,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","McLaren Coupe/Conv","mclaren coupe conv","2025 McLaren Artura Auto MY25","Sports Car","passenger","PHEV",494004,150,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz C-Class PHEV","mercedes benz c class phev","2025 Mercedes-Benz C-Class C350 e Auto","Medium Car","passenger","PHEV",98200,20,55,"5 star, 2022",5,2022,NA,104,16,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz E-Class","mercedes benz e class","2025 Mercedes-Benz E-Class E53 AMG Auto 4MATIC+","Large Car","passenger","PHEV",199900,20,60,"Unrated",NA,NA,NA,100,20.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Porsche Panamera","porsche panamera","2025 Porsche Panamera 4 E-Hybrid 972 Auto AWD MY25","Large Car","passenger","PHEV",268100,159,11,"Unrated",NA,NA,NA,96,26.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Alfa Romeo Tonale","alfa romeo tonale","2025 Alfa Romeo Tonale Tributo Italiano Plug-In Hybrid Auto MY24","Small SUV","SUV","PHEV",79000,150,4,"Unrated",NA,NA,NA,61,24.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Audi Q5 PHEV","audi q5 phev","2025 Audi Q5 55 TFSI e S line Auto quattro ultra MY25","Medium SUV","SUV","PHEV",105984,150,2,"Unrated",NA,NA,NA,55,23.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Audi Q8 PHEV","audi q8 phev","2025 Audi Q8 60 TFSI e S line Auto quattro MY25","Large SUV","SUV","PHEV",154284,225,4,"Unrated",NA,NA,NA,74,31.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Bentley Bentayga","bentley bentayga","2025 Bentley Bentayga Azure Hybrid Auto AWD MY25","Large SUV","SUV","PHEV",465900,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW X3","bmw x3","2025 BMW X3 30e xDrive G45 Auto 4x4","Medium SUV","SUV","PHEV",104800,135,11,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW X5 PHEV","bmw x5 phev","2025 BMW X5 xDrive50e M Sport G05 LCI Auto 4x4","Large SUV","SUV","PHEV",153600,180,11,"Unrated",NA,NA,NA,101,26.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW XM","bmw xm","2025 BMW XM G09 Auto M xDrive","Large SUV","SUV","PHEV",302200,165,11,"Unrated",NA,NA,NA,98,30.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BYD Sealion 6","byd sealion 6","2025 BYD SEALION 6 Essential Auto MY25","Medium SUV","SUV","PHEV",42990,30,18,"5 star, 2023",5,2023,NA,92,16.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Chery Tiggo 7 Pro","chery tiggo 7 pro","2025 Chery Tiggo 7 Super Hybrid Ultimate Auto MY26","Medium SUV","SUV","PHEV",NA,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Chery Tiggo 8 Pro","chery tiggo 8 pro","2025 Chery Tiggo 8 Super Hybrid Ultimate Auto MY26","Large SUV","SUV","PHEV",NA,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","CUPRA Formentor PHEV","cupra formentor phev","2024 CUPRA Formentor VZe Auto MY24","Medium SUV","SUV","PHEV",64990,NA,NA,"5 star, 2021",5,2021,NA,58,14.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Geely Starray EM-i","geely starray em i","2025 Geely Starray EM-1 Inspire Auto 2026","Medium SUV","SUV","PHEV",39990,NA,NA,"Unrated",NA,NA,NA,83,14.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","GWM Haval H6","gwm haval h6","2025 GWM Haval H6 Ultra PHEV Auto 4WD","Medium SUV","SUV","PHEV",NA,28,34,"5 star, 2022",5,2022,NA,180,20.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","GWM Tank 500","gwm tank 500","2025 GWM Tank 500 Ultra Hi4-T PHEV Auto 4WD","Large SUV","SUV","PHEV",NA,24,50,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Jaguar F-Pace PHEV","jaguar f pace phev","2025 Jaguar F-PACE PHEV P400e R-Dynamic SE 90th Anniversary Edition Auto AWD MY26","Large SUV","SUV","PHEV",115265,30,32,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Jeep Compass PHEV","jeep compass phev","2024 Jeep Compass Summit 4xe Auto AWD MY24","Small SUV","SUV","PHEV",69990,105,4,"Unrated",NA,NA,NA,47,16.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Jeep Grand Cherokee PHEV","jeep grand cherokee phev","2023 Jeep Grand Cherokee Summit Reserve 4xe Auto 4x4 MY23","Large SUV","SUV","PHEV",110850,NA,NA,"5 star, 2022",5,2022,NA,52,20.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Land Rover Defender PHEV","land rover defender phev","2025 Land Rover Defender 110 P400e X-Dynamic SE Auto AWD MY25.5","Large SUV","SUV","PHEV",129339,30,40,"5 star, 2020",5,2020,NA,52,26.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Land Rover Discovery Sport PHEV","land rover discovery sport phev","2025 Land Rover Discovery Sport P300e Landmark Auto 4x4 MY26","Medium SUV","SUV","PHEV",91502,30,35,"Unrated",NA,NA,NA,66,18.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Land Rover Range Rover Evoque PHEV","land rover range rover evoque phev","2025 Land Rover Range Rover Evoque P300e Autobiography Auto 4x4 MY26","Medium SUV","SUV","PHEV",91902,30,7,"5 star, 2019",5,2019,NA,66,18.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Land Rover Range Rover PHEV","land rover range rover phev","2025 Land Rover Range Rover P460e HSE PHEV Auto AWD MY25","Large SUV","SUV","PHEV",277466,60,50,"5 star, 2022",5,2022,NA,126,25.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Land Rover Range Rover Sport PHEV","land rover range rover sport phev","2025 Land Rover Range Rover Sport PHEV P460e Dynamic HSE Auto AWD MY25","Large SUV","SUV","PHEV",190545,60,50,"5 star, 2022",5,2022,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Land Rover Range Rover Velar PHEV","land rover range rover velar phev","2025 Land Rover Range Rover Velar PHEV P400e Dynamic SE Auto AWD MY26","Large SUV","SUV","PHEV",125511,30,4,"Unrated",NA,NA,NA,59,19.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Leapmotor C10 PHEV","leapmotor c10 phev","2025 Leapmotor C10 Style Auto MY25","Medium SUV","SUV","PHEV",43888,30,84,"Unrated",NA,NA,NA,170,15.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Lexus NX PHEV","lexus nx phev","2025 Lexus NX NX450h+ F Sport Auto eFour","Medium SUV","SUV","PHEV",95900,150,NA,"5 star, 2022",5,2022,NA,87,14,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Lexus RX PHEV","lexus rx phev","2025 Lexus RX RX450h+ Sports Luxury Auto eFour","Large SUV","SUV","PHEV",123500,150,NA,"5 star, 2022",5,2022,NA,85,13.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mazda CX-60 PHEV","mazda cx 60 phev","2025 Mazda CX-60 P50e Pure KH Series Auto i-ACTIV AWD","Medium SUV","SUV","PHEV",64285,90,2,"5 star, 2022",5,2022,NA,76,14.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mazda CX-80 PHEV","mazda cx 80 phev","2025 Mazda CX-80 P50e Touring KL Auto i-ACTIV AWD","Large SUV","SUV","PHEV",76245,90,2,"5 star, 2024",5,2024,NA,65,19.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz GLA-Class","mercedes benz gla class","2025 Mercedes-Benz GLA-Class GLA250 e with EQ hybrid technology Auto","Small SUV","SUV","PHEV",78000,28,22,"Unrated",NA,NA,NA,65,21.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz GLC-Class","mercedes benz glc class","2025 Mercedes-Benz GLC-Class GLC350 e Auto 4MATIC","Medium SUV","SUV","PHEV",99000,29,60,"Unrated",NA,NA,NA,132,19.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mitsubishi Eclipse Cross","mitsubishi eclipse cross","2025 Mitsubishi Eclipse Cross PHEV ES YB Auto AWD MY24","Small SUV","SUV","PHEV",47790,30,22,"Unrated",NA,NA,NA,55,16.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mitsubishi Outlander","mitsubishi outlander","2025 Mitsubishi Outlander PHEV ES ZM Auto AWD MY24","Medium SUV","SUV","PHEV",57290,30,22,"5 star, 2022",5,2022,NA,84,19.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Omoda Jaecoo J7 PHEV","omoda jaecoo j7 phev","2025 Jaecoo J7 SHS Summit Auto MY25","Medium SUV","SUV","PHEV",NA,20,40,"5 star, 2025",5,2025,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Omoda Jaecoo Omoda 9","omoda jaecoo omoda 9","2025 Omoda Omoda 9 Virtue Auto AWD MY25","Large SUV","SUV","PHEV",61990,25,70,"5 star, 2025",5,2025,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Peugeot 408","peugeot 408","2024 Peugeot 408 GT Plug-In Hybrid Auto MY24","Medium SUV","SUV","PHEV",67990,210,11,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Porsche Cayenne","porsche cayenne","2025 Porsche Cayenne E-Hybrid 9YA II Auto 4x4 MY25","Large SUV","SUV","PHEV",158100,159,11,"Unrated",NA,NA,NA,42,20.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volkswagen Touareg","volkswagen touareg","2025 Volkswagen Touareg R RC Auto 4MOTION MY25","Large SUV","SUV","PHEV",133490,150,2,"Unrated",NA,NA,NA,51,21.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volvo XC60","volvo xc60","2025 Volvo XC60 Plus T8 Plug-In Hybrid Auto AWD MY25","Medium SUV","SUV","PHEV",92390,180,4,"Unrated",NA,NA,NA,81,26.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volvo XC90","volvo xc90","2025 Volvo XC90 Ultra T8 Plug-In Hybrid Auto AWD MY25","Large SUV","SUV","PHEV",130990,180,4,"Unrated",NA,NA,NA,77,26.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
