period,geography,rank,make,model,vehicle_type_reported,sales,unit,source_id,notes
2024,Australia,1,Ford,Ranger,Ute,62593,vehicles,chasingcars_2024_top100,"Includes 4x4 and 4x2 variants; Chasing Cars reports nearly 58000 4x4 and 4633 4x2."
2024,Australia,2,Toyota,RAV4,Midsize SUV,58718,vehicles,chasingcars_2024_top100,"Chasing Cars reports 55902 petrol-electric hybrid sales."
2024,Australia,3,Toyota,Hilux,Ute,53499,vehicles,chasingcars_2024_top100,""
2024,Australia,4,Isuzu,D-Max,Ute,30194,vehicles,chasingcars_2024_top100,""
2024,Australia,5,Mitsubishi,Outlander,Midsize SUV,27613,vehicles,chasingcars_2024_top100,"Includes ICE and PHEV variants."
2024,Australia,6,Ford,Everest,Large SUV,26494,vehicles,chasingcars_2024_top100,"Ranger-derived SUV."
2024,Australia,7,Toyota,Corolla,Small car,24027,vehicles,chasingcars_2024_top100,"Chasing Cars notes Corolla went exclusively hybrid in 2024."
2024,Australia,8,Mazda,CX-5,Midsize SUV,22835,vehicles,chasingcars_2024_top100,""
2024,Australia,9,MG,ZS,Small SUV,22629,vehicles,chasingcars_2024_top100,"Includes outgoing/new-generation mix; legacy ZS EV may be included depending VFACTS model treatment."
2024,Australia,10,Kia,Sportage,Midsize SUV,22210,vehicles,chasingcars_2024_top100,"Hybrid variant added in 2024."
2024,Australia,11,Tesla,Model Y,Midsize SUV,21253,vehicles,chasingcars_2024_top100,"BEV."
2024,Australia,12,Hyundai,Tucson,Midsize SUV,19061,vehicles,chasingcars_2024_top100,"Hybrid variant added in 2024."
2024,Australia,13,Mazda,CX-3,Small SUV,18461,vehicles,chasingcars_2024_top100,""
2024,Australia,14,Mitsubishi,Triton,Ute,18077,vehicles,chasingcars_2024_top100,""
2024,Australia,15,Isuzu,MU-X,Large SUV,17978,vehicles,chasingcars_2024_top100,"D-Max-based SUV."
2024,Australia,16,Nissan,X-Trail,Midsize SUV,17494,vehicles,chasingcars_2024_top100,"Includes e-Power hybrid variants."
2024,Australia,17,Hyundai,Kona,Small SUV,17374,vehicles,chasingcars_2024_top100,"Includes ICE, HEV, and BEV variants."
2024,Australia,18,Tesla,Model 3,Midsize car,17094,vehicles,chasingcars_2024_top100,"BEV."
2024,Australia,19,Kia,Cerato,Small car,15502,vehicles,chasingcars_2024_top100,""
2024,Australia,20,Toyota,Camry,Midsize car,15401,vehicles,chasingcars_2024_top100,"Hybrid-heavy; model became hybrid-only in later Australian supply."
2024,Australia,21,Toyota,LandCruiser,Large SUV,15257,vehicles,chasingcars_2024_top100,""
2024,Australia,22,Mazda,BT-50,Ute,15164,vehicles,chasingcars_2024_top100,""
2024,Australia,23,GWM Haval,Jolion,Small SUV,14238,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,24,Subaru,Forester,Midsize SUV,13445,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,25,Hyundai,i30,Small car,12682,vehicles,chasingcars_2024_top100,""
2024,Australia,26,Mazda,CX-30,Small SUV,12672,vehicles,chasingcars_2024_top100,""
2024,Australia,27,MG,MG3,City car,12563,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid generations depending launch timing."
2024,Australia,28,Mitsubishi,ASX,Small SUV,12330,vehicles,chasingcars_2024_top100,""
2024,Australia,29,Toyota,LC70,Ute,11929,vehicles,chasingcars_2024_top100,"LandCruiser 70 Series."
2024,Australia,30,Subaru,Crosstrek,Small SUV,11545,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,31,Mazda,3,Small car,10528,vehicles,chasingcars_2024_top100,""
2024,Australia,32,Subaru,Outback,Large SUV,10227,vehicles,chasingcars_2024_top100,""
2024,Australia,33,Kia,Carnival,People-mover,10080,vehicles,chasingcars_2024_top100,""
2024,Australia,34,Nissan,Navara,Ute,10063,vehicles,chasingcars_2024_top100,""
2024,Australia,35,Toyota,Kluger,Large SUV,9868,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,36,Toyota,Prado,Large SUV,9802,vehicles,chasingcars_2024_top100,""
2024,Australia,37,Kia,Sorento,Large SUV,9791,vehicles,chasingcars_2024_top100,"Includes petrol, diesel, hybrid, and PHEV variants."
2024,Australia,38,Suzuki,Jimny,Small SUV,9697,vehicles,chasingcars_2024_top100,""
2024,Australia,39,Mitsubishi,Eclipse Cross,Small SUV,9221,vehicles,chasingcars_2024_top100,"Includes ICE and PHEV variants."
2024,Australia,40,GWM Haval,H6,Midsize SUV,8973,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,41,Toyota,Corolla Cross,Small SUV,8902,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,42,Volkswagen,Amarok,Ute,8400,vehicles,chasingcars_2024_top100,""
2024,Australia,43,Nissan,Patrol,Large SUV,8293,vehicles,chasingcars_2024_top100,""
2024,Australia,44,Toyota,Yaris Cross,Small SUV,8206,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,45,GWM,Ute,Ute,8161,vehicles,chasingcars_2024_top100,""
2024,Australia,46,Volkswagen,T-Roc,Small SUV,7777,vehicles,chasingcars_2024_top100,""
2024,Australia,47,Mitsubishi,Pajero Sport,Large SUV,7306,vehicles,chasingcars_2024_top100,""
2024,Australia,48,Hyundai,Venue,Small SUV,6949,vehicles,chasingcars_2024_top100,""
2024,Australia,49,MG,MG4,Small car,6934,vehicles,chasingcars_2024_top100,"BEV."
2024,Australia,50,Nissan,Qashqai,Small SUV,6560,vehicles,chasingcars_2024_top100,"Includes mild-hybrid/e-Power depending variant availability."
2024,Australia,51,BYD,Seal,Midsize car,6393,vehicles,chasingcars_2024_top100,"BEV."
2024,Australia,52,LDV,T60,Ute,6330,vehicles,chasingcars_2024_top100,"Diesel in 2024 top seller context; electric eT60 low-volume separate treatment uncertain."
2024,Australia,53,BYD,Sealion 6,Midsize SUV,6198,vehicles,chasingcars_2024_top100,"PHEV."
2024,Australia,54,Kia,Stonic,Small SUV,6189,vehicles,chasingcars_2024_top100,""
2024,Australia,55,Chery,Omoda 5,Small SUV,6162,vehicles,chasingcars_2024_top100,"Mostly ICE in 2024; EV variant treatment to verify."
2024,Australia,56,Suzuki,Swift,City car,6126,vehicles,chasingcars_2024_top100,"Includes mild hybrid depending variant/generation."
2024,Australia,57,Lexus,NX,Midsize SUV,6123,vehicles,chasingcars_2024_top100,"Includes HEV and PHEV variants."
2024,Australia,58,Kia,Picanto,Micro car,5822,vehicles,chasingcars_2024_top100,""
2024,Australia,59,BYD,Atto 3,Midsize SUV,5751,vehicles,chasingcars_2024_top100,"BEV."
2024,Australia,60,Honda,CR-V,Midsize SUV,5547,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,61,Audi,Q3,Small SUV,5497,vehicles,chasingcars_2024_top100,""
2024,Australia,62,Hyundai,Santa Fe,Large SUV,5392,vehicles,chasingcars_2024_top100,"Includes hybrid variants."
2024,Australia,63,Mazda,2,City car,5365,vehicles,chasingcars_2024_top100,""
2024,Australia,64,Volkswagen,Tiguan,Midsize SUV,4582,vehicles,chasingcars_2024_top100,""
2024,Australia,65,MG,HS,Midsize SUV,4552,vehicles,chasingcars_2024_top100,"Includes ICE/PHEV depending variant availability."
2024,Australia,66,BMW,X1,Small SUV,4536,vehicles,chasingcars_2024_top100,"Includes ICE and EV/iX1 depending VFACTS model treatment."
2024,Australia,67,Mercedes-Benz,GLC,Midsize SUV,4438,vehicles,chasingcars_2024_top100,"Includes mild-hybrid/PHEV variants."
2024,Australia,68,Volkswagen,Tiguan Allspace,Large SUV,4211,vehicles,chasingcars_2024_top100,""
2024,Australia,69,Honda,ZR-V,Midsize SUV,4092,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,70,Mazda,CX-60,Midsize SUV,4058,vehicles,chasingcars_2024_top100,"Includes ICE mild-hybrid and PHEV variants."
2024,Australia,71,GWM,Tank 300,Large SUV,3968,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,72,GWM Haval,H6 GT,Midsize SUV,3443,vehicles,chasingcars_2024_top100,""
2024,Australia,73,BMW,X3,Midsize SUV,3374,vehicles,chasingcars_2024_top100,"Includes ICE/PHEV depending variant availability."
2024,Australia,74,Honda,HR-V,Small SUV,3350,vehicles,chasingcars_2024_top100,"Includes petrol and hybrid variants."
2024,Australia,75,Porsche,Macan,Midsize SUV,3323,vehicles,chasingcars_2024_top100,"Mostly ICE in 2024; EV launch timing to verify."
2024,Australia,76,Ram,1500,Ute,3239,vehicles,chasingcars_2024_top100,""
2024,Australia,77,Land Rover,Defender,Large SUV,3209,vehicles,chasingcars_2024_top100,""
2024,Australia,78,Ssangyong,Musso,Ute,3197,vehicles,chasingcars_2024_top100,""
2024,Australia,79,BMW,X5,Large SUV,3157,vehicles,chasingcars_2024_top100,"Includes ICE/PHEV depending variant availability."
2024,Australia,80,Volvo,XC40,Small SUV,3142,vehicles,chasingcars_2024_top100,"Includes ICE/mild-hybrid and BEV depending VFACTS treatment."
2024,Australia,81,Mercedes-Benz,GLA,Small SUV,3103,vehicles,chasingcars_2024_top100,""
2024,Australia,82,Hyundai,Palisade,Large SUV,3062,vehicles,chasingcars_2024_top100,""
2024,Australia,83,Toyota,Fortuner,Large SUV,3042,vehicles,chasingcars_2024_top100,""
2024,Australia,84,Suzuki,Vitara,Small SUV,2934,vehicles,chasingcars_2024_top100,""
2024,Australia,85,Volkswagen,Golf,Small car,2929,vehicles,chasingcars_2024_top100,""
2024,Australia,86,Toyota,C-HR,Small SUV,2828,vehicles,chasingcars_2024_top100,"Hybrid-only/new-gen mix to verify."
2024,Australia,87,Audi,Q5,Midsize SUV,2737,vehicles,chasingcars_2024_top100,"Includes ICE/PHEV depending variant availability."
2024,Australia,88,Chery,Tiggo 7 Pro,Midsize SUV,2734,vehicles,chasingcars_2024_top100,""
2024,Australia,89,Mazda,CX-8,Large SUV,2647,vehicles,chasingcars_2024_top100,""
2024,Australia,90,BMW,3 Series,Midsize car,2472,vehicles,chasingcars_2024_top100,"Includes ICE/PHEV depending variant availability."
2024,Australia,91,Ford,F-150,Ute,2428,vehicles,chasingcars_2024_top100,""
2024,Australia,92,Chevrolet,Silverado,Ute,2389,vehicles,chasingcars_2024_top100,""
2024,Australia,93,Audi,A3,Small car,2375,vehicles,chasingcars_2024_top100,""
2024,Australia,94,LDV,D90,Large SUV,2358,vehicles,chasingcars_2024_top100,""
2024,Australia,95,Toyota,Yaris,City car,2263,vehicles,chasingcars_2024_top100,"Hybrid-only/new-gen mix to verify."
2024,Australia,96,Range Rover,Sport,Large SUV,2206,vehicles,chasingcars_2024_top100,"Includes ICE/PHEV depending variant availability."
2024,Australia,97,Subaru,WRX,Small car,2188,vehicles,chasingcars_2024_top100,""
2024,Australia,98,Volkswagen,Polo,City car,2154,vehicles,chasingcars_2024_top100,""
2024,Australia,99,Volvo,EX30,Small SUV,2129,vehicles,chasingcars_2024_top100,"BEV."
2024,Australia,100,BYD,Dolphin,City car,2116,vehicles,chasingcars_2024_top100,"BEV."
2021,Australia,1,Toyota,Hilux,Ute,52801,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,2,Ford,Ranger,Ute,50279,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,3,Toyota,RAV4,Midsize SUV,35751,vehicles,carexpert_2021_full,"CarExpert notes about three-quarters were hybrids."
2021,Australia,4,Toyota,Corolla,Small car,28768,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,5,Hyundai,i30,Small car,25575,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,6,Isuzu,D-Max,Ute,25117,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,7,Mazda,CX-5,Midsize SUV,24968,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,8,Toyota,Prado,Large SUV,21299,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,9,Mitsubishi,Triton,Ute,19232,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,10,MG,ZS,Small SUV,18423,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,11,Kia,Cerato,Small car,18114,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,12,Mazda,BT-50,Ute,15662,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,13,Nissan,Navara,Ute,15113,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,14,Mitsubishi,ASX,Small SUV,14764,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,15,Mitsubishi,Outlander,Midsize SUV,14572,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,16,Toyota,LandCruiser,Upper Large SUV,14356,vehicles,carexpert_2021_full,"Listed as Toyota L'Cruiser Wagon in source."
2021,Australia,17,Hyundai,Tucson,Midsize SUV,14194,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,18,Mazda,3,Small car,14126,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,19,Nissan,X-Trail,Midsize SUV,13860,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,20,MG,MG3,Light car,13774,vehicles,carexpert_2021_full,"Top-20 model list."
2022,Australia,1,Toyota,Hilux,Ute,64391,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,2,Ford,Ranger,Ute,47479,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,3,Toyota,RAV4,Midsize SUV,34845,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,4,Mitsubishi,Triton,Ute,27436,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,5,Mazda,CX-5,Midsize SUV,27062,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,6,Toyota,Corolla,Small car,25284,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,7,Isuzu,D-Max,Ute,24336,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,8,MG,ZS,Small SUV,22466,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,9,Hyundai,i30,Small car,21166,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,10,Toyota,Prado,Large SUV,21102,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,11,Mitsubishi,Outlander,Midsize SUV,19546,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,12,Kia,Sportage,Midsize SUV,18792,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,13,Hyundai,Tucson,Midsize SUV,17870,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,14,MG,MG3,Light car,16168,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,15,Mazda,CX-30,Small SUV,13891,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,16,Toyota,LandCruiser,Upper Large SUV,13152,vehicles,carexpert_2022_full,"Listed as Toyota LandCruiser wagon in source."
2022,Australia,17,Mazda,BT-50,Ute,12937,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,18,Toyota,Kluger,Large SUV,12562,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,19,Kia,Cerato,Small car,12354,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,20,Mazda,CX-3,Light SUV,11907,vehicles,carexpert_2022_full,"Top-20 model list."
2020,Australia,1,Toyota,Hilux,Ute,45176,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,2,Ford,Ranger,Ute,40973,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,3,Toyota,RAV4,Midsize SUV,38357,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,4,Toyota,Corolla,Small car,25882,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,5,Mazda,CX-5,Midsize SUV,21979,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,6,Hyundai,i30,Small car,20734,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,7,Mitsubishi,Triton,Ute,18136,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,8,Toyota,Prado,Large SUV,18034,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,9,Kia,Cerato,Small car,17559,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,10,Hyundai,Tucson,Midsize SUV,15789,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,11,Toyota,LandCruiser,Upper Large SUV,15078,vehicles,carsguide_2020_top100,"Listed as Toyota LandCruiser wagon in source."
2020,Australia,12,Isuzu,D-Max,Ute,15062,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,13,Mazda,3,Small car,14663,vehicles,carsguide_2020_top100,"Listed as Mazda3 in source."
2020,Australia,14,Nissan,X-Trail,Midsize SUV,14291,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,15,Mitsubishi,ASX,Small SUV,14056,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,16,Mazda,CX-3,Small SUV,13953,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,17,Toyota,Camry,Midsize car,13727,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,18,Hyundai,Kona,Small SUV,12514,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,19,Subaru,Forester,Midsize SUV,12300,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,20,Mitsubishi,Outlander,Midsize SUV,12004,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,21,Nissan,Navara,Ute,11486,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,22,Toyota,LC70,Ute,10064,vehicles,carsguide_2020_top100,"Listed as Toyota LandCruiser 70 Series in source."
2020,Australia,23,Volkswagen,Golf,Small car,10012,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,24,Kia,Seltos,Small SUV,9966,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,25,Mazda,BT-50,Ute,9588,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,26,Kia,Sportage,Midsize SUV,9579,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,27,Honda,CR-V,Midsize SUV,9523,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,28,Mazda,CX-30,Small SUV,8998,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,29,Toyota,C-HR,Small SUV,8500,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,30,Toyota,Kluger,Large SUV,8403,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,31,Toyota,HiAce,Van,8391,vehicles,carsguide_2020_top100,"Listed as Toyota HiAce van in source."
2020,Australia,32,Honda,HR-V,Small SUV,8181,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,33,Subaru,XV,Small SUV,7946,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,34,Holden,Colorado,Ute,7559,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,35,Honda,Civic,Small car,7194,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,36,MG,MG3,Light car,7158,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,37,Nissan,Qashqai,Small SUV,7057,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,38,Isuzu,MU-X,Large SUV,7049,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,39,Mazda,CX-9,Large SUV,6747,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,40,Volkswagen,Amarok,Ute,6349,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,41,Mercedes-Benz,A-Class,Small car,6054,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,42,Mitsubishi,Pajero Sport,Large SUV,6017,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,43,Ford,Everest,Large SUV,5996,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,44,Volkswagen,Tiguan,Midsize SUV,5611,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,45,LDV,T60,Ute,5581,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,46,MG,ZS,Small SUV,5494,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,47,Toyota,Yaris,Light car,5027,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,48,Kia,Rio,Light car,4952,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,49,Subaru,Outback,Large SUV,4928,vehicles,carsguide_2020_top100,"Top-100 model list."
